symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
ADES,2019,70086000.0,49443000.0,20643000.0,0.2945381389,0.0,28165000.0,0.0,35536000.0,84979000.0,0.0,7174000.0,7371000.0,62081000.0,0.8857831807,54710000.0,0.7806123905,-7174000.0,47536000.0,0.6782524327,11999000.0,35537000.0,0.5070484833,1.96,1.93
ADI,2019,5991065000.0,1977315000.0,4013750000.0,0.6699560095,1130348000.0,0.0,0.0,2207483000.0,4184798000.0,10229000.0,229075000.0,911105000.0,2621713000.0,0.4376038317,1710608000.0,0.2855265299,-224880000.0,1485728000.0,0.2479906327,122717000.0,1363011000.0,0.2275072963,3.68,3.65
ADIL,2019,0.0,0.0,0.0,0.0,3965543.0,4279357.0,0.0,8244900.0,8244900.0,95234.0,0.0,95799.0,-8149101.0,0.0,-8244900.0,0.0,-346529.0,-8591429.0,0.0,0.0,-8591429.0,0.0,-0.87,-0.87
ADM,2019,64656000000.0,60509000000.0,4147000000.0,0.0641394457,0.0,0.0,0.0,2493000000.0,63002000000.0,192000000.0,402000000.0,993000000.0,3286000000.0,0.0508228161,2293000000.0,0.0354646127,-705000000.0,1588000000.0,0.0245607523,209000000.0,1379000000.0,0.0213282603,2.45,2.44
ADMA,2019,29349083.0,39504238.0,-10155155.0,-0.3460126846,2343848.0,0.0,0.0,31269172.0,70773410.0,800785.0,8993379.0,1418401.0,-40005926.0,-1.3631065066,-41424327.0,-1.4114351375,-6854990.0,-48279317.0,-1.6450025713,8766057.0,-57045374.0,-1.9436850548,-1.05,-1.05
ADMP,2019,22113869.0,15478815.0,6635054.0,0.3000403955,10375991.0,0.0,0.0,35663559.0,51142374.0,175772.0,123258.0,3120288.0,-25908217.0,-1.1715822772,-29028505.0,-1.3126832306,-269592.0,-29298097.0,-1.324874313,8672.0,-29306769.0,-1.3252664651,-38.52,-38.52
ADN,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696557.0,696557.0,0.0,0.0,0.0,-696557.0,0.0,-696557.0,0.0,4638361.0,3941804.0,0.0,1068915.0,2872889.0,0.0,0.14,0.14
ADNT,2019,16526000000.0,15725000000.0,801000000.0,0.048469079,0.0,45000000.0,671000000.0,671000000.0,16396000000.0,11000000.0,167000000.0,318000000.0,663000000.0,0.040118601,345000000.0,0.0208761951,-343000000.0,2000000.0,0.0001210214,410000000.0,-408000000.0,-0.0246883698,-4.36,-4.36
ADNWW,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696557.0,696557.0,0.0,0.0,0.0,-696557.0,0.0,-696557.0,0.0,4638361.0,3941804.0,0.0,1068915.0,2872889.0,0.0,0.0,0.0
ADP,2019,14110200000.0,8021600000.0,6088600000.0,0.4315034514,0.0,0.0,0.0,3064200000.0,11150800000.0,659500000.0,129900000.0,409000000.0,3537700000.0,0.2507193378,3128700000.0,0.2217332143,-123100000.0,3005600000.0,0.2130090289,712800000.0,2292800000.0,0.1624923814,5.27,5.24
